Comune,Pop_Comune_2030_Conservativo,Quota Popolazione 2030 Conservativo,EV Stimati (2030 - Conservativo),Domanda Mensile (kWh) - Conservativo,Domanda Annua (kWh) - Conservativo,Domanda Giornaliera (kWh) - Conservativo,Colonnine Necessarie - Conservativo,Comune_nome_match,n_esagoni,EV Stimati (2030 - Conservativo) per esagono,Domanda Giornaliera (kWh) - Conservativo per esagono,Domanda Mensile (kWh) - Conservativo per esagono,Domanda Annua (kWh) - Conservativo per esagono,Colonnine Necessarie - Conservativo per esagono
artogne,3600,0.0028489735385754,113.9589415430199,20512.609477743583,246151.313732923,674.3871609121178,1.214175052289591,artogne,14,8.139924395929993,48.1705114937227,1465.1863912673987,17582.236695208787,0.0867267894492565
mairano,3537,0.0027991165016504,111.96466006601705,20153.63881188307,241843.66574259684,662.5853855961558,1.1929269888745235,mairano,11,10.178605460547004,60.23503505419598,1832.1489828984609,21985.787794781532,0.10844790807950214
san felice del benaco,3482,0.0027555905170333,110.22362068133204,19840.251722639765,238083.0206716772,652.2822484155539,1.1743770922423211,san felice del benaco,31,3.555600667139743,21.04136285211464,640.0081200851537,7680.097441021845,0.03788313200781681
puegnago del garda,3471,0.0027468853201098,109.875412804395,19777.574304791106,237330.8916574932,650.2216209794335,1.1706671129158808,puegnago del garda,14,7.8482437717425,46.444401498530965,1412.6838789136505,16952.2065469638,0.08361907949399149
azzano mella,3435,0.0027183955847241,108.73582338896482,19572.448210013667,234869.378520164,643.4777493703124,1.158525362392985,azzano mella,10,10.873582338896481,64.34777493703123,1957.2448210013667,23486.9378520164,0.1158525362392985
remedello,3391,0.0026835747970304,107.3429918812168,19321.73853861902,231860.86246342823,635.2352396258309,1.1436854450872231,remedello,28,3.8336782814720287,22.686972843779674,690.062090664965,8280.74508797958,0.04084590875311511
sale marasino,3276,0.0025925659201037,103.70263680414811,18666.47462474666,223997.69549695996,613.6923164300272,1.104899297583528,sale marasino,24,4.320943200172838,25.570513184584467,777.7697760311108,9333.237312373332,0.046037470732646996
ome,3179,0.0025158019108698,100.63207643479451,18113.77375826301,217365.2850991561,595.521329038784,1.0721840253412809,ome,18,5.590670913044139,33.08451827993244,1006.320764347945,12075.84917217534,0.059565779185626715
marone,3128,0.0024754414524067,99.0176580962684,17823.17845732831,213878.14148793972,585.9675109258624,1.0549832121005114,marone,33,3.0005350938263153,17.75659124017765,540.0963168887367,6481.15580266484,0.03196918824547004
serle,3096,0.0024501172431749,98.0046897269971,17640.844150859477,211690.1298103137,579.9729583844212,1.0441905449690485,serle,22,4.4547586239544135,26.362407199291873,801.8565523117944,9622.27862774153,0.047463206589502205
malonno,3020,0.0023899722462494,95.5988898499778,17207.800172996005,206493.60207595205,565.7358960984988,1.0185579605318236,malonno,52,1.8384401894226499,10.879536463432668,330.91923409607705,3971.030809152924,0.019587653087150454
pralboino,2812,0.0022253648862428,89.01459544971443,16022.6271809486,192271.5261713832,526.771304579132,0.948405624177314,pralboino,21,4.238790259510211,25.084347837101525,762.9822467118381,9155.786960542056,0.045162172579872095
