Comune,Pop_Comune_2030_Ottimistico,Quota Popolazione 2030 Ottimistico,EV Stimati (2030 - Ottimistico),Domanda Mensile (kWh) - Ottimistico,Domanda Annua (kWh) - Ottimistico,Domanda Giornaliera (kWh) - Ottimistico,Colonnine Necessarie - Ottimistico,Comune_nome_match,n_esagoni,EV Stimati (2030 - Ottimistico) per esagono,Domanda Giornaliera (kWh) - Ottimistico per esagono,Domanda Mensile (kWh) - Ottimistico per esagono,Domanda Annua (kWh) - Ottimistico per esagono,Colonnine Necessarie - Ottimistico per esagono
roè volciano,4418,0.003461877814049,207.71266884294295,37388.280391729735,448659.3647007569,1229.2037389061832,2.2130737363718374,roè volciano,4,51.92816721073574,307.3009347265458,9347.070097932434,112164.84117518923,0.5532684340929593
marcheno,4223,0.0033090787706494,198.54472623896515,35738.05072301373,428856.6086761648,1174.9496128114104,2.1153939313486347,marcheno,38,5.2248612168148725,30.919726652931853,940.4750190266772,11285.700228320127,0.05566826135127986
vestone,4207,0.0032965414132422,197.79248479453625,35602.64726301652,427231.7671561983,1170.4979922087623,2.107379178115961,vestone,13,15.214806522656634,90.03830709298171,2738.665174078194,32863.982088938326,0.1621060906243047
comezzano-cizzago,4164,0.0032628472652105,195.77083591263343,35238.75046427402,422865.0055712882,1158.5342618391458,2.085839528803153,comezzano-cizzago,22,8.898674359665156,52.660648265415716,1601.761384739728,19221.136616876734,0.09481088767287059
offlaga,4154,0.003255011416831,195.30068500986533,35154.12330177576,421849.4796213092,1155.751998962491,2.0808303080327324,offlaga,36,5.425019028051815,32.10422219340253,976.5034250493268,11718.041100591923,0.05780084188979812
isorella,4121,0.0032291531171788,193.7491870307306,34874.85366553151,418498.2439863781,1146.5705314695292,2.064299879490344,isorella,15,12.916612468715375,76.43803543130194,2324.9902443687674,27899.882932425204,0.13761999196602295
sabbio chiese,4065,0.0031852723662538,191.1163419752293,34400.94155554128,412811.29866649536,1130.989859360261,2.0362482431759887,sabbio chiese,24,7.963180915634553,47.12457747334421,1433.37256481422,17200.47077777064,0.08484367679899953
nuvolento,3948,0.003093592940214,185.61557641284264,33410.80375431167,400929.6450517401,1098.4373837033977,1.977640360162067,nuvolento,7,26.516510916120378,156.91962624334252,4772.971964901668,57275.663578820015,0.2825200514517238
verolavecchia,3871,0.0030332569076921,181.9954144615284,32759.174603075106,393110.09523690125,1077.013959553154,1.9390693602298283,verolavecchia,28,6.499836230768872,38.464784269755505,1169.9705215383967,14039.64625846076,0.06925247715106529
bienno,3828,0.0029995627596604,179.97376557962554,32395.2778043326,388743.3336519912,1065.050229183537,1.917529710917019,bienno,70,2.5710537939946505,15.215003274050531,462.78968291903715,5553.4761950284455,0.027393281584528844
bagolino,3824,0.0029964284203086,179.7857052185183,32361.42693933329,388337.12327199953,1063.9373240328755,1.9155260226088515,bagolino,126,1.4268706763374468,8.443947016133933,256.8367217407404,3082.040660888885,0.015202587481022631
lograto,3819,0.0029925104961189,179.55062976713427,32319.113358084167,387829.36029701,1062.5461925945478,1.9130214122236409,lograto,26,6.905793452582087,40.86716125363645,1243.0428214647757,14916.513857577307,0.07357774662398618
urago d'oglio,3811,0.0029862418174153,179.17450904491977,32251.41162808556,387016.9395370267,1060.3203822932237,1.909014035607304,urago d'oglio,18,9.954139391384432,58.9066879051791,1791.7450904491977,21500.941085390372,0.10605633531151688
pompiano,3767,0.0029517640845456,177.10584507274018,31879.052113093232,382548.6253571188,1048.0784256359418,1.8869734642174532,pompiano,25,7.0842338029096075,41.923137025437676,1275.1620845237294,15301.94501428475,0.07547893856869813
calvagese della riviera,3726,0.0029196371061898,175.178226371391,31532.080746850377,378384.9689622045,1036.6711478416562,1.8664356590587283,calvagese della riviera,19,9.219906651125841,54.56163936008717,1659.5831972026515,19914.998366431817,0.09823345573993307
paderno franciacorta,3695,0.0028953459762134,173.72075857280993,31269.736543105788,375236.8385172695,1028.046132924026,1.850907074670425,paderno franciacorta,5,34.74415171456199,205.6092265848052,6253.947308621157,75047.3677034539,0.370181414934085
pozzolengo,3638,0.0028506816404505,171.04089842703178,30787.36171686572,369448.3406023886,1012.187234527092,1.822354516279027,pozzolengo,36,4.75113606741755,28.116312070196997,855.2044921351588,10262.453905621906,0.050620958785528525
artogne,3636,0.0028491144707746,170.94686824647818,30770.43628436607,369245.2354123929,1011.6307819517612,1.8213526721249431,artogne,14,12.210490589034155,72.25934156798294,2197.888306026148,26374.659672313777,0.13009661943749593
mairano,3572,0.002798965041146,167.9379024687624,30228.82244437723,362745.8693325268,993.8242995411692,1.7892936591942512,mairano,11,15.267082042614762,90.34766359465175,2748.0747676706574,32976.897212047894,0.16266305992675012
san felice del benaco,3517,0.0027558678750589,165.3520725035379,29763.373050636823,357160.4766076419,978.5218537195668,1.761742944956938,san felice del benaco,31,5.333937822694771,31.565221087727963,960.1088080850589,11521.305697020707,0.05683041757925606
puegnago del garda,3506,0.0027472484418415,164.834906510493,29670.28317188874,356043.3980626649,975.4613645552464,1.756232802109475,puegnago del garda,14,11.773921893606643,69.67581175394618,2119.305940849196,25431.67129019035,0.12544520015067678
azzano mella,3469,0.0027182558028375,163.09534817025104,29357.162670645183,352285.9520477422,965.1669919116224,1.7376986852589182,azzano mella,10,16.309534817025103,96.51669919116225,2935.7162670645184,35228.59520477422,0.17376986852589182
remedello,3425,0.0026837780699678,161.02668419807145,28984.803155652862,347817.6378678344,952.9250352543409,1.715658113869068,remedello,28,5.7509530070739805,34.03303697336931,1035.1715412733165,12422.0584952798,0.06127350406675243
sale marasino,3309,0.002592882228766,155.57293372596158,28003.128070673083,336037.53684807697,920.6507858851425,1.657551152932188,sale marasino,24,6.482205571915066,38.360449411880936,1166.7970029447117,14001.56403533654,0.0690646313721745
ome,3210,0.0025153073298092,150.91843978855746,27165.319161940344,325983.82994328416,893.1063834062579,1.6079598673050242,ome,18,8.38435776603097,49.61702130034766,1509.1843978855748,18110.212774626896,0.08933110373916801
